{'target': 4, 'label': 6, 'model_name': '', 'Primal': -0.12115989659336945, 'Primal_time': 2864.938702, 'Dual': -0.3230626563561197, 'Dual_time': 2033.99786, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -3.259144230067187, 'res_plus_time': 3744.545841, 'status_res_plus': 1.0}
{'target': 9, 'label': 4, 'model_name': '', 'Primal': 3.037040609203144, 'Primal_time': 2841.321027, 'Dual': 2.896793634394505, 'Dual_time': 2294.996725, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.8003445829196818, 'res_plus_time': 4250.596655, 'status_res_plus': 0.0}
{'target': 7, 'label': 9, 'model_name': '', 'Primal': 6.730499138799339, 'Primal_time': 3222.408977, 'Dual': 6.350922382558823, 'Dual_time': 1987.324585, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 3.3690950173330245, 'res_plus_time': 4163.846172, 'status_res_plus': 0.0}
{'target': 8, 'label': 1, 'model_name': '', 'Primal': 7.464059889907891, 'Primal_time': 2963.201784, 'Dual': 6.9322158219886445, 'Dual_time': 2619.854038, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 3.953319556893321, 'res_plus_time': 4516.869228, 'status_res_plus': 0.0}
{'target': 8, 'label': 0, 'model_name': '', 'Primal': 5.953730500431159, 'Primal_time': 2996.308254, 'Dual': 5.752218495766214, 'Dual_time': 2460.749549, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 1.445141349206775, 'res_plus_time': 5141.219397, 'status_res_plus': 0.0}
{'target': 4, 'label': 9, 'model_name': '', 'Primal': 8.334785903817597, 'Primal_time': 2770.626781, 'Dual': 8.108552935689588, 'Dual_time': 2860.625313, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 6.4126531595553375, 'res_plus_time': 7837.204307, 'status_res_plus': 0.0}
{'target': 9, 'label': 4, 'model_name': '', 'Primal': 2.0095565670761406, 'Primal_time': 2848.415618, 'Dual': 1.8783694861063007, 'Dual_time': 2254.662637, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.24633951484408717, 'res_plus_time': 4452.01143, 'status_res_plus': 0.0}
{'target': 4, 'label': 9, 'model_name': '', 'Primal': 4.244447719686872, 'Primal_time': 3142.324359, 'Dual': 4.050523285093406, 'Dual_time': 2206.561095, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 3.14069934229401, 'res_plus_time': 5283.600879, 'status_res_plus': 0.0}
{'target': 8, 'label': 1, 'model_name': '', 'Primal': 7.054312129634771, 'Primal_time': 2618.459433, 'Dual': 6.62733882555605, 'Dual_time': 2086.763674, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 2.8685250418980677, 'res_plus_time': 4723.459726, 'status_res_plus': 0.0}
{'target': 4, 'label': 9, 'model_name': '', 'Primal': 1.5044745347062172, 'Primal_time': 2844.094766, 'Dual': 1.2022412516400576, 'Dual_time': 2388.550844, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': -0.4047339058999964, 'res_plus_time': 4929.412549, 'status_res_plus': 1.0}
{'target': 6, 'label': 0, 'model_name': '', 'Primal': 5.134296366026315, 'Primal_time': 2922.173563, 'Dual': 4.920292394938615, 'Dual_time': 2250.578963, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 1.952245301802754, 'res_plus_time': 4062.935563, 'status_res_plus': 0.0}
{'target': 8, 'label': 9, 'model_name': '', 'Primal': 7.530597832254226, 'Primal_time': 2718.211281, 'Dual': 7.252906432298182, 'Dual_time': 2495.255725, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 6.431603542581008, 'res_plus_time': 5563.234488, 'status_res_plus': 0.0}
{'target': 9, 'label': 4, 'model_name': '', 'Primal': 5.3670646839021146, 'Primal_time': 2852.407241, 'Dual': 5.167295518122919, 'Dual_time': 2395.871458, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 3.7092310001947366, 'res_plus_time': 4339.519694, 'status_res_plus': 0.0}
{'target': 8, 'label': 2, 'model_name': '', 'Primal': 1.7384972362626427, 'Primal_time': 2990.594446, 'Dual': 1.6008890656096268, 'Dual_time': 1836.73506, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': -0.5328281112034121, 'res_plus_time': 4059.392526, 'status_res_plus': 1.0}
{'target': 9, 'label': 4, 'model_name': '', 'Primal': 2.6453286853250253, 'Primal_time': 3039.217953, 'Dual': 2.459630657942103, 'Dual_time': 2419.012115, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.43632218915154203, 'res_plus_time': 4679.374209, 'status_res_plus': 0.0}
{'target': 5, 'label': 8, 'model_name': '', 'Primal': 5.4083218967280136, 'Primal_time': 2774.389854, 'Dual': 5.147334252641968, 'Dual_time': 2441.802558, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 3.4567084973235054, 'res_plus_time': 4902.555823, 'status_res_plus': 0.0}
{'target': 5, 'label': 3, 'model_name': '', 'Primal': 9.5164462231708, 'Primal_time': 2922.964726, 'Dual': 9.269395753313928, 'Dual_time': 1977.991704, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 6.556238808107318, 'res_plus_time': 4342.424613, 'status_res_plus': 0.0}
{'target': 9, 'label': 4, 'model_name': '', 'Primal': 1.5279382121721055, 'Primal_time': 3138.722474, 'Dual': 1.3549236619565128, 'Dual_time': 2248.921148, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': -0.6193632692359251, 'res_plus_time': 4282.847829, 'status_res_plus': 1.0}
{'target': 6, 'label': 0, 'model_name': '', 'Primal': 6.777837614238228, 'Primal_time': 2847.928889, 'Dual': 6.404023771128623, 'Dual_time': 2137.650134, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 3.052772284518706, 'res_plus_time': 4759.680129, 'status_res_plus': 0.0}
