{'target': 0, 'label': 0, 'model_name': '', 'Primal': 0.05210385036872593, 'Primal_time': 4.740593, 'Dual': 0.037661666527613796, 'Dual_time': 4.176261, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.009637519515079828, 'res_plus_time': 11.732844, 'status_res_plus': 0.0}
{'target': 1, 'label': 0, 'model_name': '', 'Primal': 0.06073915423458793, 'Primal_time': 4.939099, 'Dual': 0.04395682021466162, 'Dual_time': 6.753449, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.013538106247469612, 'res_plus_time': 13.136153, 'status_res_plus': 0.0}
{'target': 0, 'label': 0, 'model_name': '', 'Primal': 0.05323347553609143, 'Primal_time': 4.778034, 'Dual': 0.03874215990002362, 'Dual_time': 6.158097, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.011282280781244497, 'res_plus_time': 12.818006, 'status_res_plus': 0.0}
{'target': 2, 'label': 0, 'model_name': '', 'Primal': 0.11990783322859995, 'Primal_time': 5.059064, 'Dual': 0.09153054797911646, 'Dual_time': 4.424648, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.027508416967863516, 'res_plus_time': 14.168908, 'status_res_plus': 0.0}
{'target': 2, 'label': 0, 'model_name': '', 'Primal': 0.11231508591990047, 'Primal_time': 6.149683, 'Dual': 0.08107315178716985, 'Dual_time': 6.330864, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.0218717011224232, 'res_plus_time': 12.893331, 'status_res_plus': 0.0}
{'target': 2, 'label': 0, 'model_name': '', 'Primal': 0.10796881377324911, 'Primal_time': 5.670197, 'Dual': 0.07668137995209859, 'Dual_time': 7.917921, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.009722948874368517, 'res_plus_time': 12.874377, 'status_res_plus': 0.0}
{'target': 2, 'label': 0, 'model_name': '', 'Primal': 0.11341561239587893, 'Primal_time': 5.012008, 'Dual': 0.08308807175869738, 'Dual_time': 6.210339, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.022696870497847802, 'res_plus_time': 9.013893, 'status_res_plus': 0.0}
{'target': 0, 'label': 0, 'model_name': '', 'Primal': 0.05342741896790551, 'Primal_time': 4.954071, 'Dual': 0.038985678446784224, 'Dual_time': 5.672543, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.011070715058832946, 'res_plus_time': 9.391592, 'status_res_plus': 0.0}
{'target': 0, 'label': 0, 'model_name': '', 'Primal': 0.05610985897798843, 'Primal_time': 4.605751, 'Dual': 0.043294505626097844, 'Dual_time': 6.060907, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.013821460337834195, 'res_plus_time': 9.433301, 'status_res_plus': 0.0}
{'target': 2, 'label': 0, 'model_name': '', 'Primal': 0.1228700043071541, 'Primal_time': 5.138489, 'Dual': 0.08973059319744202, 'Dual_time': 4.868053, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.028211360472036276, 'res_plus_time': 13.204535, 'status_res_plus': 0.0}
{'target': 1, 'label': 0, 'model_name': '', 'Primal': 0.058082963898016246, 'Primal_time': 4.926317, 'Dual': 0.04167100563504023, 'Dual_time': 4.665795, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.01101178796445816, 'res_plus_time': 9.224588, 'status_res_plus': 0.0}
