{'target': 4, 'label': 6, 'model_name': '', 'Primal': -4.576612453428495, 'Primal_time': 11966.293669, 'Dual': -4.6035612035540145, 'Dual_time': 2313.994827, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -4.603554966912708, 'res_plus_time': 1164.156477, 'status_res_plus': 1.0}
{'target': 9, 'label': 4, 'model_name': '', 'Primal': -2.0201460417774384, 'Primal_time': 10598.424029, 'Dual': -2.0297976750461086, 'Dual_time': 2802.4481, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -2.0297968905155273, 'res_plus_time': 1319.012288, 'status_res_plus': 1.0}
{'target': 4, 'label': 9, 'model_name': '', 'Primal': -1.2577293787471533, 'Primal_time': 11598.235657, 'Dual': -1.257767919694378, 'Dual_time': 3006.648394, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -1.257768856822615, 'res_plus_time': 1206.77505, 'status_res_plus': 1.0}
{'target': 8, 'label': 1, 'model_name': '', 'Primal': -3.92055163509158, 'Primal_time': 13329.330852, 'Dual': -3.960983033797375, 'Dual_time': 2408.828398, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -3.960983319797031, 'res_plus_time': 1244.415422, 'status_res_plus': 1.0}
{'target': 8, 'label': 0, 'model_name': '', 'Primal': -4.917181195421798, 'Primal_time': 11993.759708, 'Dual': -4.935319445322113, 'Dual_time': 3082.114764, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -4.935309823630851, 'res_plus_time': 1279.172574, 'status_res_plus': 1.0}
{'target': 4, 'label': 9, 'model_name': '', 'Primal': 0.9674827084223484, 'Primal_time': 11307.12078, 'Dual': 0.9643787034880976, 'Dual_time': 2303.06555, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.9643796681733492, 'res_plus_time': 1137.202954, 'status_res_plus': 0.0}
{'target': 9, 'label': 4, 'model_name': '', 'Primal': -2.2977995244076346, 'Primal_time': 10629.347201, 'Dual': -2.301948572130793, 'Dual_time': 2446.442035, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -2.3019457170973032, 'res_plus_time': 1113.802505, 'status_res_plus': 1.0}
{'target': 7, 'label': 2, 'model_name': '', 'Primal': -0.17798210910630072, 'Primal_time': 11640.858407, 'Dual': -0.18720286146530876, 'Dual_time': 2264.974223, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -0.18720260418482004, 'res_plus_time': 947.215533, 'status_res_plus': 1.0}
{'target': 4, 'label': 9, 'model_name': '', 'Primal': -0.47061012520545153, 'Primal_time': 9296.723423, 'Dual': -0.47438661089561857, 'Dual_time': 2707.652994, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -0.4743866943937799, 'res_plus_time': 1207.718666, 'status_res_plus': 1.0}
{'target': 3, 'label': 1, 'model_name': '', 'Primal': -4.071756581647549, 'Primal_time': 9628.372539, 'Dual': -4.104268267189425, 'Dual_time': 2437.419074, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -4.104262673575133, 'res_plus_time': 1127.086894, 'status_res_plus': 1.0}
{'target': 4, 'label': 9, 'model_name': '', 'Primal': -1.4509052985145985, 'Primal_time': 10283.02427, 'Dual': -1.4517456791256866, 'Dual_time': 2707.800895, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -1.4517527062286788, 'res_plus_time': 1244.479065, 'status_res_plus': 1.0}
{'target': 6, 'label': 0, 'model_name': '', 'res_plus': -1.9413048285865904, 'res_plus_time': 784.310644, 'status_res_plus': 1.0}
{'target': 8, 'label': 9, 'model_name': '', 'res_plus': 2.8306685095677153, 'res_plus_time': 672.219368, 'status_res_plus': 0.0}
{'target': 4, 'label': 4, 'model_name': '', 'res_plus': 1.2223733199869309, 'res_plus_time': 575.269844, 'status_res_plus': 0.0}
{'target': 8, 'label': 2, 'model_name': '', 'res_plus': -3.72841829852475, 'res_plus_time': 678.498823, 'status_res_plus': 1.0}
{'target': 9, 'label': 4, 'model_name': '', 'res_plus': -2.1025582342271374, 'res_plus_time': 809.698229, 'status_res_plus': 1.0}
{'target': 5, 'label': 8, 'model_name': '', 'res_plus': 0.02219003584133399, 'res_plus_time': 669.293524, 'status_res_plus': 0.0}
{'target': 3, 'label': 3, 'model_name': '', 'res_plus': 2.5124792375638014, 'res_plus_time': 851.809896, 'status_res_plus': 0.0}
{'target': 9, 'label': 4, 'model_name': '', 'res_plus': -2.6449558714660695, 'res_plus_time': 665.01427, 'status_res_plus': 1.0}
{'target': 6, 'label': 0, 'model_name': '', 'res_plus': -3.2897823717794155, 'res_plus_time': 695.805663, 'status_res_plus': 1.0}
{'target': 6, 'label': 0, 'model_name': '', 'res_plus': -3.5921944321864276, 'res_plus_time': 740.31649, 'status_res_plus': 1.0}
{'target': 4, 'label': 9, 'model_name': '', 'res_plus': -1.3815931149809375, 'res_plus_time': 669.534849, 'status_res_plus': 1.0}
{'target': 4, 'label': 6, 'model_name': '', 'res_plus': -2.3499774418539, 'res_plus_time': 574.241638, 'status_res_plus': 1.0}
{'target': 9, 'label': 4, 'model_name': '', 'res_plus': -2.450666552496516, 'res_plus_time': 804.347838, 'status_res_plus': 1.0}
{'target': 3, 'label': 0, 'model_name': '', 'res_plus': -5.100070718268632, 'res_plus_time': 811.254405, 'status_res_plus': 1.0}
{'target': 4, 'label': 6, 'model_name': '', 'res_plus': -2.310300680500386, 'res_plus_time': 706.936879, 'status_res_plus': 1.0}
{'target': 5, 'label': 0, 'model_name': '', 'res_plus': -2.929464635548406, 'res_plus_time': 874.291673, 'status_res_plus': 1.0}
{'target': 3, 'label': 5, 'model_name': '', 'res_plus': -1.5165401076128522, 'res_plus_time': 778.372901, 'status_res_plus': 1.0}
{'target': 0, 'label': 8, 'model_name': '', 'res_plus': -1.2920477319557888, 'res_plus_time': 717.825595, 'status_res_plus': 1.0}
{'target': 9, 'label': 9, 'model_name': '', 'res_plus': 2.5639718197173598, 'res_plus_time': 712.95937, 'status_res_plus': 0.0}
{'target': 8, 'label': 8, 'model_name': '', 'res_plus': 0.40653538268702843, 'res_plus_time': 788.866051, 'status_res_plus': 0.0}
{'target': 4, 'label': 9, 'model_name': '', 'res_plus': -0.522471372267697, 'res_plus_time': 738.842637, 'status_res_plus': 1.0}
{'target': 2, 'label': 3, 'model_name': '', 'res_plus': -0.5431285031161631, 'res_plus_time': 872.627027, 'status_res_plus': 1.0}
{'target': 5, 'label': 1, 'model_name': '', 'res_plus': -0.9719824061706909, 'res_plus_time': 616.181212, 'status_res_plus': 1.0}
{'target': 5, 'label': 3, 'model_name': '', 'res_plus': 0.06372367896661159, 'res_plus_time': 812.303592, 'status_res_plus': 0.0}
{'target': 9, 'label': 8, 'model_name': '', 'res_plus': 0.04702932301530211, 'res_plus_time': 788.933579, 'status_res_plus': 0.0}
{'target': 2, 'label': 8, 'model_name': '', 'res_plus': 0.1011682483971959, 'res_plus_time': 896.537878, 'status_res_plus': 0.0}
{'target': 0, 'label': 6, 'model_name': '', 'res_plus': -4.635902950921478, 'res_plus_time': 657.084158, 'status_res_plus': 1.0}
{'target': 5, 'label': 1, 'model_name': '', 'res_plus': 0.10824479443640053, 'res_plus_time': 598.264592, 'status_res_plus': 0.0}
{'target': 3, 'label': 5, 'model_name': '', 'res_plus': -2.5871506256989316, 'res_plus_time': 900.395342, 'status_res_plus': 1.0}
{'target': 3, 'label': 1, 'model_name': '', 'res_plus': -4.50896847954482, 'res_plus_time': 620.794393, 'status_res_plus': 1.0}
{'target': 4, 'label': 6, 'model_name': '', 'res_plus': -4.166615951059275, 'res_plus_time': 737.299866, 'status_res_plus': 1.0}
{'target': 4, 'label': 9, 'model_name': '', 'res_plus': -0.5198606930398209, 'res_plus_time': 804.030096, 'status_res_plus': 1.0}
{'target': 0, 'label': 9, 'model_name': '', 'res_plus': 10.009094935472541, 'res_plus_time': 810.251771, 'status_res_plus': 0.0}
{'target': 5, 'label': 3, 'model_name': '', 'res_plus': -3.1611205203102224, 'res_plus_time': 954.851942, 'status_res_plus': 1.0}
{'target': 4, 'label': 9, 'model_name': '', 'res_plus': 0.9985063241758845, 'res_plus_time': 958.647466, 'status_res_plus': 0.0}
{'target': 8, 'label': 5, 'model_name': '', 'res_plus': -0.052542783116940106, 'res_plus_time': 773.095479, 'status_res_plus': 1.0}
{'target': 3, 'label': 8, 'model_name': '', 'res_plus': -2.3915742392341537, 'res_plus_time': 695.586684, 'status_res_plus': 1.0}
{'target': 3, 'label': 1, 'model_name': '', 'res_plus': -3.2730941816632764, 'res_plus_time': 860.262365, 'status_res_plus': 1.0}
{'target': 9, 'label': 7, 'model_name': '', 'res_plus': -2.763636730711069, 'res_plus_time': 847.523345, 'status_res_plus': 1.0}
{'target': 4, 'label': 9, 'model_name': '', 'res_plus': -1.656861628764784, 'res_plus_time': 721.937568, 'status_res_plus': 1.0}
{'target': 8, 'label': 2, 'model_name': '', 'res_plus': -1.7755546129351738, 'res_plus_time': 729.783207, 'status_res_plus': 1.0}
