{'target': 4, 'label': 6, 'model_name': '', 'Primal': -2.6074283961749063, 'Primal_time': 10514.977121, 'Dual': -2.6147477254275397, 'Dual_time': 2826.126573, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -2.614749921176353, 'res_plus_time': 1724.36692, 'status_res_plus': 1.0}
{'target': 9, 'label': 4, 'model_name': '', 'Primal': -1.2338271109577132, 'Primal_time': 11557.717106, 'Dual': -1.2568175972315125, 'Dual_time': 2599.617258, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -1.256870378547358, 'res_plus_time': 1651.154487, 'status_res_plus': 1.0}
{'target': 4, 'label': 9, 'model_name': '', 'Primal': -0.5134902246560261, 'Primal_time': 11535.545087, 'Dual': -0.5146809020087516, 'Dual_time': 3260.798462, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -0.5147030589359992, 'res_plus_time': 1871.366966, 'status_res_plus': 1.0}
{'target': 8, 'label': 1, 'model_name': '', 'Primal': -1.1322092421654677, 'Primal_time': 12615.15704, 'Dual': -1.2149259461529391, 'Dual_time': 2867.724019, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -1.2156772303987655, 'res_plus_time': 1607.835754, 'status_res_plus': 1.0}
{'target': 8, 'label': 0, 'model_name': '', 'Primal': -2.459024201372023, 'Primal_time': 10862.311243, 'Dual': -2.4623944277484484, 'Dual_time': 2864.274884, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -2.462568129508425, 'res_plus_time': 2027.846363, 'status_res_plus': 1.0}
{'target': 4, 'label': 9, 'model_name': '', 'Primal': 1.9414603733160918, 'Primal_time': 12082.703983, 'Dual': 1.940433905966702, 'Dual_time': 3543.190617, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 1.94043674322317, 'res_plus_time': 1927.014343, 'status_res_plus': 0.0}
{'target': 9, 'label': 4, 'model_name': '', 'Primal': -1.4937438295101966, 'Primal_time': 10472.846574, 'Dual': -1.5175703839956045, 'Dual_time': 2910.9807, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -1.5175729118973182, 'res_plus_time': 1520.730552, 'status_res_plus': 1.0}
{'target': 7, 'label': 2, 'model_name': '', 'Primal': 1.3663532271472616, 'Primal_time': 11516.692048, 'Dual': 1.3431761271153855, 'Dual_time': 2760.232511, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 1.3270028867850192, 'res_plus_time': 1542.335795, 'status_res_plus': 0.0}
{'target': 4, 'label': 9, 'model_name': '', 'Primal': 0.1243352227114679, 'Primal_time': 10373.570355, 'Dual': 0.11820058144406784, 'Dual_time': 2338.216741, 'status_primal': 0.0, 'status_dual': 0.0, 'res_plus': 0.1181984661533376, 'res_plus_time': 1422.405261, 'status_res_plus': 0.0}
{'target': 3, 'label': 1, 'model_name': '', 'Primal': -1.653957353026507, 'Primal_time': 12862.186979, 'Dual': -1.7305136554244955, 'Dual_time': 2935.642888, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -1.7401396931488582, 'res_plus_time': 1625.430024, 'status_res_plus': 1.0}
{'target': 4, 'label': 9, 'model_name': '', 'Primal': -0.534833107894675, 'Primal_time': 11541.409833, 'Dual': -0.5394537432723852, 'Dual_time': 2850.306362, 'status_primal': 1.0, 'status_dual': 1.0, 'res_plus': -0.5395044453215454, 'res_plus_time': 1665.8479, 'status_res_plus': 1.0}
{'target': 6, 'label': 0, 'model_name': '', 'res_plus': 0.5235045071268818, 'res_plus_time': 729.836786, 'status_res_plus': 0.0}
{'target': 8, 'label': 9, 'model_name': '', 'res_plus': 4.1002783815197485, 'res_plus_time': 906.488265, 'status_res_plus': 0.0}
{'target': 4, 'label': 4, 'model_name': '', 'res_plus': 1.9460044490820148, 'res_plus_time': 770.940403, 'status_res_plus': 0.0}
{'target': 8, 'label': 2, 'model_name': '', 'res_plus': -2.0486437804668327, 'res_plus_time': 697.361583, 'status_res_plus': 1.0}
{'target': 9, 'label': 4, 'model_name': '', 'res_plus': -1.3103519005166901, 'res_plus_time': 930.258474, 'status_res_plus': 1.0}
{'target': 5, 'label': 8, 'model_name': '', 'res_plus': 1.7412109909027134, 'res_plus_time': 777.954016, 'status_res_plus': 0.0}
{'target': 3, 'label': 3, 'model_name': '', 'res_plus': 3.4255271586284737, 'res_plus_time': 645.323759, 'status_res_plus': 0.0}
{'target': 9, 'label': 4, 'model_name': '', 'res_plus': -1.7487739648964453, 'res_plus_time': 678.761989, 'status_res_plus': 1.0}
{'target': 6, 'label': 0, 'model_name': '', 'res_plus': -0.6095052587927066, 'res_plus_time': 689.745708, 'status_res_plus': 1.0}
{'target': 6, 'label': 0, 'model_name': '', 'res_plus': -1.0852524046672747, 'res_plus_time': 727.062826, 'status_res_plus': 1.0}
{'target': 4, 'label': 9, 'model_name': '', 'res_plus': -0.6291733737350781, 'res_plus_time': 741.179644, 'status_res_plus': 1.0}
{'target': 4, 'label': 6, 'model_name': '', 'res_plus': -0.2600454074127357, 'res_plus_time': 696.755147, 'status_res_plus': 1.0}
{'target': 9, 'label': 4, 'model_name': '', 'res_plus': -1.638549370666185, 'res_plus_time': 727.883151, 'status_res_plus': 1.0}
{'target': 3, 'label': 0, 'model_name': '', 'res_plus': -2.483420775023882, 'res_plus_time': 778.369587, 'status_res_plus': 1.0}
{'target': 4, 'label': 6, 'model_name': '', 'res_plus': -0.06316385561989735, 'res_plus_time': 631.019907, 'status_res_plus': 1.0}
{'target': 5, 'label': 0, 'model_name': '', 'res_plus': -0.10141451329602404, 'res_plus_time': 818.531008, 'status_res_plus': 1.0}
{'target': 3, 'label': 5, 'model_name': '', 'res_plus': -0.42424632996176553, 'res_plus_time': 698.968346, 'status_res_plus': 1.0}
{'target': 0, 'label': 8, 'model_name': '', 'res_plus': 0.8146785094003761, 'res_plus_time': 836.232757, 'status_res_plus': 0.0}
{'target': 9, 'label': 9, 'model_name': '', 'res_plus': 3.2924345928738075, 'res_plus_time': 829.623494, 'status_res_plus': 0.0}
{'target': 8, 'label': 8, 'model_name': '', 'res_plus': 1.2296405924910856, 'res_plus_time': 704.814913, 'status_res_plus': 0.0}
{'target': 4, 'label': 9, 'model_name': '', 'res_plus': 0.28959879034988045, 'res_plus_time': 721.346883, 'status_res_plus': 0.0}
{'target': 2, 'label': 3, 'model_name': '', 'res_plus': 0.8882124819366777, 'res_plus_time': 809.798558, 'status_res_plus': 0.0}
{'target': 5, 'label': 1, 'model_name': '', 'res_plus': 1.4435179837543115, 'res_plus_time': 577.022634, 'status_res_plus': 0.0}
{'target': 5, 'label': 3, 'model_name': '', 'res_plus': 0.8574646436981932, 'res_plus_time': 901.546721, 'status_res_plus': 0.0}
{'target': 9, 'label': 8, 'model_name': '', 'res_plus': 1.1528791505212317, 'res_plus_time': 721.90666, 'status_res_plus': 0.0}
{'target': 2, 'label': 8, 'model_name': '', 'res_plus': 1.0922543861880585, 'res_plus_time': 717.127943, 'status_res_plus': 0.0}
