{'dataset_idx': 0, 'true_label': 6, 'target_label': 5, 'epsilon': 0.1, 'verified_ub': -6.108795166015625, 'adv_lb': -8.496508598327637, 'adv_success': False, 'ibp_bound': 165.23536682128906, 'time': 3565.7732689380646}
{'dataset_idx': 1, 'true_label': 4, 'target_label': 5, 'epsilon': 0.1, 'verified_ub': -4.22698974609375, 'adv_lb': -7.882685661315918, 'adv_success': False, 'ibp_bound': 145.43145751953125, 'time': 3556.9282019138336}
{'dataset_idx': 2, 'true_label': 9, 'target_label': 8, 'epsilon': 0.1, 'verified_ub': -0.6994781494140625, 'adv_lb': -2.7143070697784424, 'adv_success': False, 'ibp_bound': 100.05305480957031, 'time': 3737.1759963035583}
{'dataset_idx': 3, 'true_label': 1, 'target_label': 8, 'epsilon': 0.1, 'verified_ub': 0.214263916015625, 'adv_lb': -3.8817121982574463, 'adv_success': False, 'ibp_bound': 250.40716552734375, 'time': 3572.4410750865936}
{'dataset_idx': 4, 'true_label': 0, 'target_label': 7, 'epsilon': 0.1, 'verified_ub': -4.524261474609375, 'adv_lb': -8.89478874206543, 'adv_success': False, 'ibp_bound': 265.6116027832031, 'time': 3571.585879802704}
{'dataset_idx': 5, 'true_label': 9, 'target_label': 3, 'epsilon': 0.1, 'verified_ub': -1.4593505859375, 'adv_lb': -5.500271797180176, 'adv_success': False, 'ibp_bound': 148.6940155029297, 'time': 3556.5198810100555}
{'dataset_idx': 6, 'true_label': 4, 'target_label': 9, 'epsilon': 0.1, 'verified_ub': -2.2807464599609375, 'adv_lb': -4.187926292419434, 'adv_success': False, 'ibp_bound': 89.49638366699219, 'time': 3566.0603680610657}
{'dataset_idx': 7, 'true_label': 2, 'target_label': 4, 'epsilon': 0.1, 'verified_ub': -1.054718017578125, 'adv_lb': -4.707059860229492, 'adv_success': False, 'ibp_bound': 192.3384552001953, 'time': 3572.32270693779}
{'dataset_idx': 8, 'true_label': 9, 'target_label': 3, 'epsilon': 0.1, 'verified_ub': -3.236846923828125, 'adv_lb': -6.033465385437012, 'adv_success': False, 'ibp_bound': 131.38076782226562, 'time': 3564.236374616623}
{'dataset_idx': 9, 'true_label': 1, 'target_label': 5, 'epsilon': 0.1, 'verified_ub': -2.8375244140625, 'adv_lb': -8.501813888549805, 'adv_success': False, 'ibp_bound': 281.7384338378906, 'time': 3568.6552381515503}
{'dataset_idx': 11, 'true_label': 0, 'target_label': 9, 'epsilon': 0.1, 'verified_ub': -4.403350830078125, 'adv_lb': -8.214313507080078, 'adv_success': False, 'ibp_bound': 208.0614471435547, 'time': 3554.6229536533356}
